id,inhabitants,withEV,chCostTotal,regRevTotal,netChCostTotal,resCostTotal,totalCostTotal,netDemandTotal,evDemandTotal,resDemandTotal,pvGenTotal,minVoltageV,minVoltagePU
1,2,1.0,0.228961902162,0.0,0.228961902162,0.719332340772,0.948294242934,8.28734496694,4.37523163361,3.9121133333333273,0,224.2664031982422,0.9750713182532269
2,1,1.0,0.633526017906,0.0,0.633526017906,0.870468579964,1.50399459787,19.2329233707,14.3471450374,4.885778333333335,0,222.8119354248047,0.9687475453252378
3,2,1.0,2.12778552859,0.0,2.12778552859,1.18475470755,3.31254023614,12.9584068038,6.80007513712,6.158331666666659,0,224.23858642578125,0.9749503757642664
4,2,1.0,0.98883740867,0.0,0.98883740867,1.54869354985,2.53753095852,12.2804897717,4.079128105,8.201361666666681,0,218.5403594970703,0.9501754760742187
5,2,1.0,0.590412850635,0.0,0.590412850635,1.0326820284,1.62309487904,8.11258940356,2.19249940356,5.920090000000001,0,218.53643798828125,0.9501584260360054
6,1,1.0,0.316847192772,0.0,0.316847192772,2.07315180756,2.38999900033,15.4799183635,3.34983336349,12.130085000000001,0,222.80599975585938,0.9687217380689538
7,1,1.0,0.484488945757,0.0,0.484488945757,0.575864117522,1.06035306328,5.45414576978,2.19488243645,3.259263333333333,0,217.93992614746094,0.9475648962933084
8,4,1.0,0.317192379057,0.0,0.317192379057,2.44271833205,2.75991071111,21.886150972,8.48816930537,13.397981666666661,0,221.03907775878906,0.9610394685164741
9,2,1.0,1.24065776815,0.0,1.24065776815,2.17354722334,3.41420499149,19.291994032,7.81873736537,11.47325666666668,0,216.691162109375,0.9421354874320652
10,3,1.0,1.14014144664,0.0,1.14014144664,1.91418983812,3.05433128476,13.066883387,2.10531005365,10.961573333333341,0,217.43438720703125,0.9453669009001359
11,1,1.0,0.304217670121,0.0,0.304217670121,0.890950385356,1.19516805548,10.9080854508,5.73867211745,5.169413333333328,0,217.4412841796875,0.9453968877377718
12,1,1.0,0.832384834566,0.0,0.832384834566,2.54529857471,3.37768340928,19.6714476981,5.16231936477,14.509128333333338,0,221.10292053222656,0.9613170457922894
13,1,1.0,0.748127303376,0.0,0.748127303376,1.68830576692,2.4364330703,15.9877163546,7.13141468796,8.856301666666669,0,216.8019256591797,0.94261706808339
14,1,1.0,1.0376774107,0.0,1.0376774107,2.91487759212,3.95255500282,20.0059083876,4.52663505431,15.47927333333333,0,215.49014282226562,0.9369136644446332
15,4,1.0,0.655570608299,0.0,0.655570608299,2.37063821078,3.02620881908,16.2895603951,2.97824039515,13.311319999999995,0,216.84347534179688,0.9427977188773777
16,1,1.0,0.430663084971,0.0,0.430663084971,0.585163323525,1.0158264085,10.2354591164,6.91659411641,3.318864999999999,0,220.5250701904297,0.9588046530018682
17,4,1.0,1.00601250042,0.0,1.00601250042,2.55092959235,3.55694209277,17.2582174897,3.00410582306,14.254111666666669,0,220.67588806152344,0.9594603828761888
18,1,1.0,0.434409735313,0.0,0.434409735313,1.32839024377,1.76279997908,11.3960324694,4.06882246937,7.327210000000007,0,219.11985778808594,0.9526950338612432
19,1,1.0,0.588912332911,0.0,0.588912332911,1.83280798363,2.42172031654,26.1480099466,16.0438316132,10.104178333333333,0,219.1090087890625,0.9526478643002717
20,4,1.0,2.3866514018,0.0,2.3866514018,4.42652111865,6.81317252045,29.0977208706,4.75998253725,24.337738333333334,0,211.1882781982422,0.9182099052097487
21,3,1.0,0.689546390727,0.0,0.689546390727,1.87850574267,2.56805213339,17.9884395669,7.44438956689,10.544050000000004,0,213.0083770751953,0.9261233785878057
22,1,1.0,1.08393250078,0.0,1.08393250078,1.83893416156,2.92286666235,13.1986847943,3.19999646096,9.998688333333355,0,211.20278930664062,0.918272996985394
23,2,1.0,0.462784820697,0.0,0.462784820697,2.19696935712,2.65975417782,19.2420071754,7.17438384206,12.067623333333335,0,214.0975341796875,0.9308588442595108
24,2,1.0,1.04401113563,0.0,1.04401113563,0.295594816,1.33960595163,3.79475903319,2.10515903319,1.6896000000000042,0,218.8942413330078,0.9517140927522079
25,2,1.0,0.304195794555,0.0,0.304195794555,1.79820019084,2.1023959854,16.5168326149,6.87177594821,9.645056666666674,0,207.7755584716797,0.9033719933551291
26,2,1.0,0.999406227726,0.0,0.999406227726,0.938346723997,1.93775295172,8.20225540245,2.75250706912,5.449748333333335,0,213.27297973632812,0.9272738249405571
27,2,1.0,0.397965236474,0.0,0.397965236474,2.30769527533,2.7056605118,18.6751120167,6.61366701674,12.061444999999992,0,218.0489959716797,0.9480391129203465
28,1,1.0,0.961360541045,0.0,0.961360541045,0.889158976139,1.85051951718,13.2569825707,8.12199923735,5.134983333333337,0,217.9642333984375,0.9476705799932065
29,2,1.0,1.18567672215,0.0,1.18567672215,1.43520145053,2.62087817268,11.418857219,3.3373405523,8.081516666666674,0,207.53866577148438,0.9023420250934103
30,3,1.0,0.482679341235,0.0,0.482679341235,2.59113772628,3.07381706752,17.2183589955,3.18158899551,14.036770000000033,0,207.7971649169922,0.9034659344217052
31,1,1.0,0.460118468647,0.0,0.460118468647,1.33299579899,1.79311426764,16.3454120127,8.585865346,7.7595466666666715,0,207.538818359375,0.9023426885190218
32,2,1.0,1.25532699148,0.0,1.25532699148,3.72885747569,4.98418446717,27.3505742316,7.63476089828,19.715813333333415,0,217.533935546875,0.9457997197690218
33,1,1.0,1.11251707348,0.0,1.11251707348,0.719915769528,1.83243284301,12.4638239537,8.52380728706,3.940016666666665,0,217.96682739257812,0.9476818582286005
34,2,1.0,1.2460088705,0.0,1.2460088705,0.732047308239,1.97805617874,7.36245042419,3.14585709086,4.216593333333326,0,208.54312133789062,0.9067092232082201
35,1,1.0,0.454942642706,0.0,0.454942642706,0.934266569958,1.38920921266,9.15324039052,3.72116539052,5.432075,0,211.29762268066406,0.9186853160028873
36,2,1.0,0.538292882802,0.0,0.538292882802,1.53292755361,2.07122043641,11.0514306458,2.6463673125,8.405063333333336,0,211.23475646972656,0.9184119846509851
37,1,1.0,0.382590715828,0.0,0.382590715828,2.08051232932,2.46310304515,14.2631895496,2.27439954958,11.988790000000025,0,211.22157287597656,0.918354664678159
38,2,1.0,0.328710565422,0.0,0.328710565422,3.52051039557,3.84922096099,25.2055220638,5.61938039716,19.586141666666677,0,212.63853454589844,0.9245153675908627
39,1,1.0,0.814801036175,0.0,0.814801036175,1.26480241171,2.07960344788,14.939825123,7.82330178962,7.116523333333331,0,216.972412109375,0.9433583135190218
40,4,1.0,1.14082680255,0.0,1.14082680255,1.82665011079,2.96747691333,16.1003358842,6.31816421756,9.782171666666663,0,211.88919067382812,0.9212573507557744
41,1,1.0,0.917802935942,0.0,0.917802935942,2.78816437109,3.70596730703,23.1846008778,8.07369921116,15.110901666666658,0,210.47940063476562,0.9151278288468071
42,2,1.0,1.17842439272,0.0,1.17842439272,0.503383651192,1.68180804391,13.7484585974,10.8673935974,2.881064999999991,0,216.95697021484375,0.9432911748471468
43,2,1.0,1.5997622636,0.0,1.5997622636,2.25329624758,3.85305851119,17.9176735443,5.86387354429,12.0538,0,216.52586364746094,0.9414167984672215
44,3,1.0,0.850839733551,0.0,0.850839733551,1.82451499701,2.67535473056,15.9138948628,5.64554152946,10.268353333333337,0,213.04966735839844,0.9263029015582541
45,2,1.0,0.818657230678,0.0,0.818657230678,1.26343379271,2.08209102339,13.80960676,6.75132842663,7.058278333333333,0,210.5086669921875,0.9152550738790761
46,1,1.0,0.9816520623,0.0,0.9816520623,0.921843671375,1.90349573367,8.27851373151,3.28258873151,4.995924999999995,0,209.46969604492188,0.9107378088909647
47,4,1.0,0.47474844874,0.0,0.47474844874,2.03722668423,2.51197513297,14.1511163111,2.4789796444,11.672136666666654,0,216.6706085205078,0.9420461240022079
48,1,1.0,0.358344333125,0.0,0.358344333125,0.709232571911,1.06757690504,8.96226405507,4.88111738841,4.081146666666669,0,209.50662231445312,0.9108983578889266
49,2,1.0,0.707183826948,0.0,0.707183826948,2.07177081546,2.77895464241,17.4846176038,6.42034093709,11.06427666666667,0,209.3874053955078,0.9103800234587296
50,1,1.0,0.932863954695,0.0,0.932863954695,1.90480198914,2.83766594383,12.6679142401,2.36898090675,10.298933333333332,0,209.29054260253906,0.9099588808806046
51,1,1.0,0.342410832645,0.0,0.342410832645,0.825357586319,1.16776841896,10.4154819399,5.76954027327,4.6459416666666655,0,209.4387969970703,0.9106034652046535
52,1,1.0,0.83693485218,0.0,0.83693485218,1.5043409788,2.34127583098,13.5432417452,4.93871174516,8.604530000000004,0,208.94076538085938,0.9084381103515625
53,2,1.0,0.715569661282,0.0,0.715569661282,2.60188039418,3.31745005546,17.3376040907,3.62529742402,13.712306666666656,0,209.24240112304688,0.9097495701002039
54,1,1.0,0.524390374032,0.0,0.524390374032,1.02375554939,1.54814592342,9.26664908668,3.55231408668,5.714335000000005,0,209.31324768066406,0.9100575986115829
55,3,1.0,0.513818615979,0.0,0.513818615979,2.75596495622,3.2697835722,17.0906232757,1.58504160904,15.505581666666663,0,208.96041870117188,0.9085235595703125
