slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,batterySOCmin,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
18,29.277345633,29.277345633,0,0.0,41.0,0.0,0.688534562595,0.0,226.522369385,0.98487986689,28.9394753439,0.0,0.0,0.0,2.1181775552,2.1181775552
19,27.3712497038,27.3712497038,0,0.0,42.0,0.0,0.688534562595,0.0,226.596130371,0.985200566831,28.6509335542,0.0,0.0,0.0,1.9605296414,1.9605296414
20,34.770556758,34.770556758,0,0.0,45.0,0.0,0.688534562595,0.0,224.679534912,0.976867543096,28.1381552412,0.0,0.0,0.0,2.4459483097,2.4459483097
21,26.5452473927,26.5452473927,0,0.0,47.0,0.0,0.688534562595,0.0,226.089202881,0.982996534265,25.4766486166,0.0,0.0,0.0,1.69070985066,1.69070985066
22,26.5945584478,26.5945584478,0,0.0,47.0,0.0,0.688534562595,0.0,226.189620972,0.983433134659,25.6469780853,0.0,0.0,0.0,1.70517514425,1.70517514425
23,25.3661255076,25.3661255076,0,0.0,47.0,0.0,0.688534562595,0.0,225.637832642,0.981034054963,25.0974810154,0.0,0.0,0.0,1.5915646334,1.5915646334
24,25.519872769,25.519872769,0,0.0,48.0,0.0,0.688534562595,0.0,225.318710327,0.97964656664,24.9251478969,0.0,0.0,0.0,1.59021650769,1.59021650769
25,29.4942000788,29.4942000788,0,0.0,48.0,0.0,0.688534562595,0.0,224.818710327,0.977472653596,22.0705832027,0.0,0.0,0.0,1.62738549209,1.62738549209
26,35.7973222552,35.7973222552,0,0.0,48.0,0.0,0.688534562595,0.0,224.428375244,0.97577554454,21.9030657965,0.0,0.0,0.0,1.96017776174,1.96017776174
27,32.9119422242,32.9119422242,0,0.0,49.0,0.0,0.688534562595,0.0,225.138778687,0.978864255159,22.4127769524,0.0,0.0,0.0,1.84412005035,1.84412005035
28,36.0559482312,36.0559482312,0,0.0,51.0,0.0,0.688534562595,0.0,224.537643433,0.97625062362,22.9160290805,0.0,0.0,0.0,2.06564789548,2.06564789548
29,33.6594085488,33.6594085488,0,0.0,52.0,0.0,0.688534562595,0.0,224.298248291,0.975209775178,21.5298915501,0.0,0.0,0.0,1.81170853923,1.81170853923
30,35.8825056749,35.8825056749,0,0.0,53.0,0.0,0.688534562595,0.0,224.076004028,0.974243495775,21.3238068243,0.0,0.0,0.0,1.91287904846,1.91287904846
31,33.3440689263,33.3440689263,0,0.0,54.0,0.0,0.688534562595,0.0,226.346176147,0.984113809337,21.1607218245,0.0,0.0,0.0,1.76396141761,1.76396141761
32,34.9547738478,34.9547738478,0,0.0,54.0,0.0,0.688534562595,0.0,225.167129517,0.978987519637,20.0967557225,0.0,0.0,0.0,1.75619387839,1.75619387839
33,37.2654728365,37.2654728365,0,0.0,54.0,0.0,0.688534562595,0.0,225.436035156,0.980156674592,19.5542332455,0.0,0.0,0.0,1.82174436962,1.82174436962
34,31.6649622332,31.6649622332,0,0.0,55.0,0.0,0.688534562595,0.0,226.676330566,0.985549263332,19.9859764045,0.0,0.0,0.0,1.5821379701,1.5821379701
35,28.2764124095,28.2764124095,0,0.0,55.0,0.0,0.688534562595,0.0,227.626968384,0.989682471234,18.925691241,0.0,0.0,0.0,1.33787662667,1.33787662667
36,27.918094233,27.918094233,0,0.0,55.0,0.0,0.688534562595,0.0,227.037582397,0.987119923467,18.8564352471,0.0,0.0,0.0,1.31608934032,1.31608934032
37,28.1566605363,28.1566605363,0,0.0,55.0,0.0,0.688534562595,0.0,226.915634155,0.986589713719,19.2100482086,0.0,0.0,0.0,1.35222701574,1.35222701574
38,30.4527667029,30.4527667029,0,0.0,55.0,0.0,0.688534562595,0.0,227.007202148,0.986987835428,19.7779887531,0.0,0.0,0.0,1.50573619338,1.50573619338
39,27.1696205095,27.1696205095,0,0.0,55.0,0.0,0.688534562595,0.0,227.147857666,0.987599381157,20.1953674133,0.0,0.0,0.0,1.37175117168,1.37175117168
40,26.34690989,26.34690989,0,0.0,55.0,0.0,0.688534562595,0.0,226.314971924,0.983978138799,19.6419233315,0.0,0.0,0.0,1.2937599602,1.2937599602
41,47.776427229,19.1718118532,0,28.6046153758,55.0,0.0,0.692565212944,0.028675,223.72567749,0.972720336914,13.2992472326,0.951049629689,0.0,0.951049629689,0.63742666433,1.58847629402
42,50.2272607615,18.4803333176,0,31.7469274439,55.0,0.0,0.697038643629,0.05735,221.417404175,0.962684365977,13.5875528992,1.07840764008,0.0,1.07840764008,0.62775626637,1.70616390645
43,95.7735775019,17.8930909586,0,77.8804865433,55.0,0.0,0.708012712188,0.086025,218.214416504,0.948758332626,11.6095025492,2.26038426764,0.0,2.26038426764,0.519324712741,2.77970898038
44,71.3095385718,13.4589954302,0,57.8505431416,55.0,0.0,0.71616437963,0.1147,217.586868286,0.946029862114,11.8564772471,1.71475912123,0.0,1.71475912123,0.398940682719,2.11369980395
45,11.6808047801,7.98080478009,0,3.7,55.0,0.0,0.716685743267,0.143375,227.211776733,0.987877290145,15.3226006454,0.14173405597,0.0,0.14173405597,0.305716711185,0.447450767155
