slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.367,0.367,0,0.0,0.0,0,0.0,0.0,228.1639404296875,0.9920171323029892,16.159333333333336,0.0,0.0,0.0,0.00494206277778,0.00494206277778
2,0.367,0.367,0,0.0,0.0,0,0.0,0.0,227.87913513183594,0.9907788483992866,16.159333333333336,0.0,0.0,0.0,0.00494206277778,0.00494206277778
3,0.2894,0.2894,0,0.0,0.0,0,0.0,0.0,228.44317626953125,0.993231201171875,16.159333333333336,0.0,0.0,0.0,0.00389709255556,0.00389709255556
4,0.173,0.173,0,0.0,0.0,0,0.0,0.0,227.0413360595703,0.9871362437372623,16.159333333333336,0.0,0.0,0.0,0.00232963722222,0.00232963722222
5,0.2274,0.22739999999999996,0,0.0,0.0,0,0.0,0.0,227.1820526123047,0.9877480548361074,16.159333333333336,0.0,0.0,0.0,0.00306219366667,0.00306219366667
6,0.309,0.309,0,0.0,0.0,0,0.0,0.0,227.48898315429688,0.9890825354534647,16.159333333333336,0.0,0.0,0.0,0.00416102833333,0.00416102833333
7,0.3138,0.31379999999999997,0,0.0,0.0,0,0.0,0.0,228.01531982421875,0.9913709557574728,16.199333333333335,0.0,0.0,0.0,0.00423612566667,0.00423612566667
8,0.269,0.269,0,0.0,0.0,0,0.0,0.0,227.7295379638672,0.9901284259298574,16.199333333333335,0.0,0.0,0.0,0.00363135055556,0.00363135055556
9,0.259,0.259,0,0.0,0.0,0,0.0,0.0,228.95701599121094,0.9954652869183084,16.199333333333335,0.0,0.0,0.0,0.00349635611111,0.00349635611111
10,0.259,0.259,0,0.0,0.0,0,0.0,0.0,228.52183532714844,0.9935731970745584,16.199333333333335,0.0,0.0,0.0,0.00349635611111,0.00349635611111
11,0.259,0.259,0,0.0,0.0,0,0.0,0.0,228.3425750732422,0.9927938046662704,16.199333333333335,0.0,0.0,0.0,0.00349635611111,0.00349635611111
12,0.3954,0.3954000000000001,0,0.0,0.0,0,0.0,0.0,227.81910705566406,0.9905178567637568,16.199333333333335,0.0,0.0,0.0,0.00533768033333,0.00533768033333
13,0.453,0.453,0,0.0,0.0,0,0.0,0.0,227.27056884765625,0.988132908033288,16.169333333333334,0.0,0.0,0.0,0.00610392333333,0.00610392333333
14,0.453,0.453,0,0.0,0.0,0,0.0,0.0,227.24099731445312,0.9880043361497962,16.169333333333334,0.0,0.0,0.0,0.00610392333333,0.00610392333333
15,0.4302,0.43019999999999997,0,0.0,0.0,0,0.0,0.0,227.72903442382812,0.9901262366253397,16.169333333333334,0.0,0.0,0.0,0.005796706,0.005796706
16,0.3972,0.39720000000000005,0,0.0,0.0,0,0.0,0.0,228.22019958496094,0.9922617373259172,16.169333333333334,0.0,0.0,0.0,0.00535204933333,0.00535204933333
17,0.314,0.314,0,0.0,0.0,0,0.0,0.0,228.16592407226562,0.9920257568359375,16.169333333333334,0.0,0.0,0.0,0.00423097555556,0.00423097555556
18,0.2814,0.2814,0,0.0,0.0,0,0.0,0.0,227.45199584960938,0.9889217210852581,16.169333333333334,0.0,0.0,0.0,0.00379170866667,0.00379170866667
19,0.6718,0.6718,0,0.0,0.0,0,0.0,0.0,226.7802276611328,0.9860009898310123,16.124333333333336,0.0,0.0,0.0,0.00902693927778,0.00902693927778
20,0.4754,0.47539999999999993,0,0.0,0.0,0,0.0,0.0,227.20445251464844,0.9878454457158627,16.124333333333336,0.0,0.0,0.0,0.00638792338889,0.00638792338889
21,0.345,0.34500000000000003,0,0.0,0.0,0,0.0,0.0,227.1317901611328,0.9875295224397079,16.124333333333336,0.0,0.0,0.0,0.00463574583333,0.00463574583333
22,0.384,0.384,0,0.0,0.0,0,0.0,0.0,227.63101196289062,0.9897000520125679,16.124333333333336,0.0,0.0,0.0,0.00515978666667,0.00515978666667
23,0.384,0.384,0,0.0,0.0,0,0.0,0.0,228.0869140625,0.9916822350543478,16.124333333333336,0.0,0.0,0.0,0.00515978666667,0.00515978666667
24,0.384,0.384,0,0.0,0.0,0,0.0,0.0,227.91796875,0.9909476902173913,16.124333333333336,0.0,0.0,0.0,0.00515978666667,0.00515978666667
25,0.068,0.068,0,0.0,0.0,0,0.0,0.0,228.76014709472656,0.9946093351944633,18.344333333333335,0.0,0.0,0.0,0.00103951222222,0.00103951222222
26,0.068,0.068,0,0.0,0.0,0,0.0,0.0,228.34036254882812,0.9927841849949048,18.344333333333335,0.0,0.0,0.0,0.00103951222222,0.00103951222222
27,0.068,0.068,0,0.0,0.0,0,0.0,0.0,228.74447631835938,0.9945412013841712,18.344333333333335,0.0,0.0,0.0,0.00103951222222,0.00103951222222
28,0.068,0.068,0,0.0,0.0,0,0.0,0.0,227.213134765625,0.9878831946331522,18.344333333333335,0.0,0.0,0.0,0.00103951222222,0.00103951222222
29,0.1456,0.1456,0,0.0,0.0,0,0.0,0.0,226.8495635986328,0.9863024504288384,18.344333333333335,0.0,0.0,0.0,0.00222577911111,0.00222577911111
30,0.262,0.262,0,0.0,0.0,0,0.0,0.0,226.0485076904297,0.9828195986540421,18.344333333333335,0.0,0.0,0.0,0.00400517944444,0.00400517944444
31,0.262,0.262,0,0.0,0.0,0,0.0,0.0,224.90744018554688,0.9778584355893343,17.749333333333336,0.0,0.0,0.0,0.00387527111111,0.00387527111111
32,0.262,0.262,0,0.0,0.0,0,0.0,0.0,224.84368896484375,0.9775812563688858,17.749333333333336,0.0,0.0,0.0,0.00387527111111,0.00387527111111
33,0.262,0.262,0,0.0,0.0,0,0.0,0.0,225.02322387695312,0.9783618429432744,17.749333333333336,0.0,0.0,0.0,0.00387527111111,0.00387527111111
34,0.068,0.068,0,0.0,0.0,0,0.0,0.0,226.33670043945312,0.9840726106063179,17.749333333333336,0.0,0.0,0.0,0.00100579555556,0.00100579555556
35,0.068,0.068,0,0.0,0.0,0,0.0,0.0,226.6480712890625,0.9854263969089674,17.749333333333336,0.0,0.0,0.0,0.00100579555556,0.00100579555556
36,0.068,0.068,0,0.0,0.0,0,0.0,0.0,226.41790771484375,0.984425685716712,17.749333333333336,0.0,0.0,0.0,0.00100579555556,0.00100579555556
37,0.068,0.068,0,0.0,0.0,0,0.0,0.0,225.96153259277344,0.9824414460555367,18.574333333333335,0.0,0.0,0.0,0.00105254555556,0.00105254555556
38,0.068,0.068,0,0.0,0.0,0,0.0,0.0,225.9478302001953,0.9823818704356317,18.574333333333335,0.0,0.0,0.0,0.00105254555556,0.00105254555556
