slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
56,50.7874080946,7.53986666667,0,43.247541428,55.0,0.0,0.891523245182,220.046951294,0.956725875191,14.82075,1.60240249905,0.0,1.60240249905,0.27936619725,1.8817686963
57,86.3797914194,7.4518,0,78.9279914194,55.0,0.0,0.902644916701,219.477310181,0.954249174699,12.89575,2.54458911337,0.0,2.54458911337,0.240241374625,2.78483048799
58,105.006601539,6.9958,0,98.0108015387,55.0,0.0,0.916455529645,219.287490845,0.953423873238,12.89575,3.15980698486,0.0,3.15980698486,0.225540219625,3.38534720448
59,36.3811333333,6.78113333333,0,29.6,55.0,0.0,0.920626438736,218.888626099,0.95168967869,6.285749999999999,0.4651455,0.0,0.4651455,0.106561272125,0.571706772125
60,40.3790846392,7.08006666667,0,33.2990179726,55.0,0.0,0.925318573086,219.571395874,0.954658242931,6.285749999999999,0.523273255553,0.0,0.523273255553,0.111258822625,0.634532078178
61,77.2534832485,6.952,0,70.3014832485,55.0,0.0,0.93522469118,217.330062866,0.94491331681,9.580750000000002,1.68385233908,0.0,1.68385233908,0.166513435,1.85036577408
62,77.6354,7.3354,0,70.3,55.0,0.0,0.945130600271,217.096084595,0.943896019977,9.580750000000002,1.6838168125,0.0,1.6838168125,0.175696583875,1.85951339638
63,78.3287508107,7.643,0,70.6857508107,55.0,0.0,0.955090865158,217.545730591,0.945851002569,11.17575,1.97491569906,0.0,1.97491569906,0.213540643125,2.18845634218
64,75.1715739008,8.502,0,66.6695739008,55.0,0.0,0.964485214208,216.43901062,0.941039176609,11.17575,1.8627062263,0.0,1.8627062263,0.23754056625,2.10024679255
65,68.1651731034,10.6751333333,0,57.4900397701,55.0,0.0,0.972586083448,219.948303223,0.956296970533,12.85575,1.84769394694,0.0,1.84769394694,0.343092113375,2.19078606031
66,70.5393012023,9.8852,0,60.6541012023,55.0,0.0,0.981132797709,219.341430664,0.953658394192,12.85575,1.94938490383,0.0,1.94938490383,0.31770414975,2.26708905358
67,59.8374690737,8.34546666667,0,51.492002407,55.0,0.0,0.988388488957,221.171081543,0.961613398013,14.240750000000002,1.83321183319,0.0,1.83321183319,0.297114261083,2.13032609428
68,90.8466719191,8.4424,0,82.4042719191,55.0,0.0,1.0,218.780319214,0.951218779191,14.240750000000002,2.93374658833,0.0,2.93374658833,0.3005652695,3.23431185783
69,10.9478666667,10.9478666667,0,0.0,55.0,0.0,1.0,228.962005615,0.995486980936,16.220750000000002,0.0,0.0,0.0,0.443956520583,0.443956520583
70,13.632,13.632,0,0.0,54.0,0.0,1.0,227.299560547,0.988258958899,16.220750000000002,0.0,0.0,0.0,0.55280316,0.55280316
71,11.8779333333,11.8779333333,0,0.0,53.0,0.0,1.0,228.502670288,0.993489870818,16.795749999999998,0.0,0.0,0.0,0.498746996958,0.498746996958
72,15.3095333333,15.3095333333,0,0.0,53.0,0.0,1.0,227.920196533,0.990957376231,16.795749999999998,0.0,0.0,0.0,0.642837736208,0.642837736208
73,27.0884,27.0884,0,0.0,52.0,0.0,1.0,226.407653809,0.984381103516,17.74575,0.0,0.0,0.0,1.20175993575,1.20175993575
74,26.7696,26.7696,0,0.0,52.0,0.0,1.0,226.040786743,0.982786029318,17.74575,0.0,0.0,0.0,1.187616573,1.187616573
75,29.7066,29.7066,0,0.0,52.0,0.0,1.0,227.239685059,0.98799863069,18.78075,0.0,0.0,0.0,1.39478056987,1.39478056987
76,39.6120666667,39.6120666667,0,0.0,49.0,0.0,1.0,226.049530029,0.982824043606,18.78075,0.0,0.0,0.0,1.85986080262,1.85986080262
77,31.2657333333,31.2657333333,0,0.0,48.0,0.0,1.0,226.940429688,0.98669752038,16.850749999999998,0.0,0.0,0.0,1.31712763992,1.31712763992
78,28.9868,28.9868,0,0.0,47.0,0.0,1.0,226.070022583,0.982913141665,16.850749999999998,0.0,0.0,0.0,1.22112330025,1.22112330025
79,25.4107333333,25.4107333333,0,0.0,42.0,0.0,1.0,226.228973389,0.983604232125,16.56575,0.0,0.0,0.0,1.05236963929,1.05236963929
80,19.6667333333,19.6667333333,0,0.0,38.0,0.0,1.0,227.050704956,0.98717697807,16.56575,0.0,0.0,0.0,0.814485469292,0.814485469292
81,24.7198666667,24.7198666667,0,0.0,36.0,0.0,1.0,224.940933228,0.978004057511,16.180750000000003,0.0,0.0,0.0,0.999964956417,0.999964956417
82,23.2774,23.2774,0,0.0,32.0,0.0,1.0,227.008300781,0.986992612092,16.180750000000003,0.0,0.0,0.0,0.941614475125,0.941614475125
83,20.9052666667,20.9052666667,0,0.0,30.0,0.0,1.0,227.258773804,0.988081625234,16.88575,0.0,0.0,0.0,0.882502766542,0.882502766542
84,18.792,18.792,0,0.0,26.0,0.0,1.0,227.134933472,0.987543189007,16.88575,0.0,0.0,0.0,0.793292535,0.793292535
85,21.0187333333,21.0187333333,0,0.0,25.0,0.0,1.0,227.111038208,0.987439296557,16.850749999999998,0.0,0.0,0.0,0.885453551792,0.885453551792
86,19.8446666667,19.8446666667,0,0.0,21.0,0.0,1.0,228.057174683,0.991552933403,16.850749999999998,0.0,0.0,0.0,0.835993792083,0.835993792083
87,20.2084,20.2084,0,0.0,17.0,0.0,1.0,227.98059082,0.991219960088,16.98075,0.0,0.0,0.0,0.85788447075,0.85788447075
88,14.4667333333,14.4667333333,0,0.0,14.0,0.0,1.0,228.598327637,0.993905772334,16.98075,0.0,0.0,0.0,0.614139955125,0.614139955125
89,19.9808,19.9808,0,0.0,11.0,0.0,1.0,227.138977051,0.987560769786,18.335750000000004,0.0,0.0,0.0,0.915907384,0.915907384
90,21.0878,21.0878,0,0.0,11.0,0.0,1.0,225.313034058,0.979621887207,18.335750000000004,0.0,0.0,0.0,0.966651572125,0.966651572125
91,17.7975333333,17.7975333333,0,0.0,10.0,0.0,1.0,226.197357178,0.983466770338,18.31075,0.0,0.0,0.0,0.814715458708,0.814715458708
92,22.2942666667,22.2942666667,0,0.0,8.0,0.0,1.0,223.914306641,0.973540463655,18.31075,0.0,0.0,0.0,1.02056185842,1.02056185842
93,24.0486666667,24.0486666667,0,0.0,7.0,0.0,1.0,224.192047119,0.974748030953,18.55075,0.0,0.0,0.0,1.11530200792,1.11530200792
94,23.1628,23.1628,0,0.0,6.0,0.0,1.0,223.535964966,0.971895499851,18.55075,0.0,0.0,0.0,1.07421828025,1.07421828025
95,27.6139333333,27.6139333333,0,0.0,6.0,0.0,1.0,227.206710815,0.987855264415,18.43575,0.0,0.0,0.0,1.27270892862,1.27270892862
96,19.2202,19.2202,0,0.0,6.0,0.0,1.0,227.552368164,0.989358122452,18.43575,0.0,0.0,0.0,0.885847005375,0.885847005375
