slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,batterySOCmin,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
76,25.9002666667,25.9002666667,0,0.0,49.0,0.0,1.0,1.0,226.745864868,0.985851586383,20.19625,0.0,0.0,0.0,1.30772065167,1.30772065167
77,25.0318666667,25.0318666667,0,0.0,47.0,0.0,1.0,1.0,228.291793823,0.992573016623,21.426250000000003,0.0,0.0,0.0,1.34084758292,1.34084758292
78,25.3286,25.3286,0,0.0,47.0,0.0,1.0,1.0,227.124694824,0.987498673149,21.426250000000003,0.0,0.0,0.0,1.35674228938,1.35674228938
79,30.0108666667,30.0108666667,0,0.0,47.0,0.0,1.0,1.0,226.522186279,0.98487907078,21.51625,0.0,0.0,0.0,1.61430327479,1.61430327479
80,23.3381333333,23.3381333333,0,0.0,43.0,0.0,1.0,1.0,227.412033081,0.988747969918,21.51625,0.0,0.0,0.0,1.25537277833,1.25537277833
81,23.6693333333,23.6693333333,0,0.0,40.0,0.0,1.0,1.0,227.446487427,0.988897771421,20.68625,0.0,0.0,0.0,1.22407436667,1.22407436667
82,19.9998666667,19.9998666667,0,0.0,36.0,0.0,1.0,1.0,227.819915771,0.990521372919,20.68625,0.0,0.0,0.0,1.03430560458,1.03430560458
83,25.2046666667,25.2046666667,0,0.0,35.0,0.0,1.0,1.0,226.901733398,0.986529275645,20.56125,0.0,0.0,0.0,1.29559863125,1.29559863125
84,29.2948,29.2948,0,0.0,33.0,0.0,1.0,1.0,226.429504395,0.984476106063,20.56125,0.0,0.0,0.0,1.50584426625,1.50584426625
85,26.2820666667,26.2820666667,0,0.0,32.0,0.0,1.0,1.0,226.245834351,0.983677540655,20.63625,0.0,0.0,0.0,1.35590824562,1.35590824562
86,23.1140666667,23.1140666667,0,0.0,28.0,0.0,1.0,1.0,228.231811523,0.992312224015,20.63625,0.0,0.0,0.0,1.19246914562,1.19246914562
87,23.5217333333,23.5217333333,0,0.0,25.0,0.0,1.0,1.0,227.540420532,0.989306176227,20.81125,0.0,0.0,0.0,1.22379168208,1.22379168208
88,22.5725333333,22.5725333333,0,0.0,20.0,0.0,1.0,1.0,227.374282837,0.988583838421,20.81125,0.0,0.0,0.0,1.17440658583,1.17440658583
89,15.0648,15.0648,0,0.0,16.0,0.0,1.0,1.0,229.232925415,0.996664893109,20.01125,0.0,0.0,0.0,0.7536636975,0.7536636975
90,12.032,12.032,0,0.0,16.0,0.0,1.0,1.0,228.250671387,0.992394223421,20.01125,0.0,0.0,0.0,0.6019384,0.6019384
91,14.95,14.95,0,0.0,14.0,0.0,1.0,1.0,227.026931763,0.98707361636,21.35125,0.0,0.0,0.0,0.79800296875,0.79800296875
92,22.3673333333,22.3673333333,0,0.0,11.0,0.0,1.0,1.0,226.935531616,0.986676224418,21.35125,0.0,0.0,0.0,1.19392631458,1.19392631458
93,25.8724,25.8724,0,0.0,10.0,0.0,1.0,1.0,226.370574951,0.984219891092,20.801250000000003,0.0,0.0,0.0,1.34544565125,1.34544565125
94,15.9078666667,15.9078666667,0,0.0,10.0,0.0,1.0,1.0,226.060684204,0.982872540018,20.801250000000003,0.0,0.0,0.0,0.82725877875,0.82725877875
95,17.6482,17.6482,0,0.0,10.0,0.0,1.0,1.0,228.261199951,0.992439999788,19.24125,0.0,0.0,0.0,0.848933570625,0.848933570625
96,14.2946666667,14.2946666667,0,0.0,8.0,0.0,1.0,1.0,228.391586304,0.993006896973,19.24125,0.0,0.0,0.0,0.6876181375,0.6876181375
