slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.23890686035156,0.9966908993928328,23.108666666666668,0.0,0.0,0.0,0.00410178833333,0.00410178833333
2,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,228.1167755126953,0.9918120674465014,23.108666666666668,0.0,0.0,0.0,0.00410178833333,0.00410178833333
3,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,227.39630126953125,0.9886795707370923,21.94366666666667,0.0,0.0,0.0,0.00389500083333,0.00389500083333
4,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,226.806640625,0.9861158288043478,21.94366666666667,0.0,0.0,0.0,0.00389500083333,0.00389500083333
5,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,227.36190795898438,0.9885300346042799,20.69366666666667,0.0,0.0,0.0,0.00367312583333,0.00367312583333
6,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.147216796875,0.9962922469429348,20.69366666666667,0.0,0.0,0.0,0.00367312583333,0.00367312583333
7,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.42532348632812,0.9975014064622962,19.15866666666667,0.0,0.0,0.0,0.00340066333333,0.00340066333333
8,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,227.81219482421875,0.9904878035835598,19.15866666666667,0.0,0.0,0.0,0.00340066333333,0.00340066333333
9,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,228.68519592285156,0.9942834605341372,21.43866666666667,0.0,0.0,0.0,0.00380536333333,0.00380536333333
10,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.6890106201172,0.9986478722613791,21.43866666666667,0.0,0.0,0.0,0.00380536333333,0.00380536333333
11,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.2510528564453,0.9967437080715014,20.42366666666667,0.0,0.0,0.0,0.00362520083333,0.00362520083333
12,0.167,0.16699999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.2974090576172,0.9969452567722487,20.42366666666667,0.0,0.0,0.0,0.00852688083333,0.00852688083333
13,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,228.88340759277344,0.9951452504033628,21.30366666666667,0.0,0.0,0.0,0.00378140083333,0.00378140083333
14,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.5314178466797,0.9979626862899117,21.30366666666667,0.0,0.0,0.0,0.00378140083333,0.00378140083333
15,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.28237915039062,0.9968799093495244,25.818666666666665,0.0,0.0,0.0,0.00458281333333,0.00458281333333
16,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.4122314453125,0.9974444845448369,25.818666666666665,0.0,0.0,0.0,0.00458281333333,0.00458281333333
17,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,228.7861785888672,0.9947225156037703,29.38866666666667,0.0,0.0,0.0,0.00521648833333,0.00521648833333
18,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,228.49099731445312,0.9934391187584919,29.38866666666667,0.0,0.0,0.0,0.00521648833333,0.00521648833333
19,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,227.06878662109375,0.9872555940047555,28.93866666666667,0.0,0.0,0.0,0.00513661333333,0.00513661333333
20,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,228.09634399414062,0.9917232347571332,28.93866666666667,0.0,0.0,0.0,0.00513661333333,0.00513661333333
21,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.04345703125,0.9958411175271739,26.113666666666667,0.0,0.0,0.0,0.00463517583333,0.00463517583333
22,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.81851196289062,0.9992109215777853,26.113666666666667,0.0,0.0,0.0,0.00463517583333,0.00463517583333
23,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.41033935546875,0.9974362580672554,24.86866666666667,0.0,0.0,0.0,0.00441418833333,0.00441418833333
24,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,228.8985595703125,0.9952111285665761,24.86866666666667,0.0,0.0,0.0,0.00441418833333,0.00441418833333
25,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.58827209472656,0.9982098786727241,21.953666666666667,0.0,0.0,0.0,0.00389677583333,0.00389677583333
26,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.92074584960938,0.9996554167374321,21.953666666666667,0.0,0.0,0.0,0.00389677583333,0.00389677583333
27,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.7498016357422,0.998912181024966,21.898666666666667,0.0,0.0,0.0,0.00388701333333,0.00388701333333
28,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.62022399902344,0.9983487999957541,21.898666666666667,0.0,0.0,0.0,0.00388701333333,0.00388701333333
29,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.3599853515625,0.9972173276154891,21.618666666666666,0.0,0.0,0.0,0.00383731333333,0.00383731333333
30,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.16673278808594,0.9963770990786345,21.618666666666666,0.0,0.0,0.0,0.00383731333333,0.00383731333333
31,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,228.58213806152344,0.9938353828761889,21.863666666666667,0.0,0.0,0.0,0.00388080083333,0.00388080083333
32,0.071,0.07099999999999998,0,0.0,0.0,0,0.0,19.3612377332,229.17160034179688,0.9963982623556386,21.863666666666667,0.0,0.0,0.0,0.00388080083333,0.00388080083333
33,0.3964,0.3964,0,0.0,0.0,0,0.0,19.3612377332,228.87384033203125,0.9951036536175272,20.483666666666664,0.0,0.0,0.0,0.0202993136667,0.0202993136667
34,0.256,0.25599999999999995,0,0.0,1.0,0,0.0,19.3612377332,228.29489135742188,0.9925864841627038,20.483666666666664,0.0,0.0,0.0,0.0131095466667,0.0131095466667
