id,inhabitants,withEV,chCostTotal,regRevTotal,netChCostTotal,resCostTotal,totalCostTotal,netDemandTotal,evDemandTotal,resDemandTotal,pvGenTotal,minVoltageV,minVoltagePU
1,2,1.0,0.373557719782,0.0,0.373557719782,3.38630864167,3.75986636145,18.3498025345,2.96830253452,15.381499999999994,0,226.90956115722656,0.986563309379246
2,1,1.0,0.601655743118,0.0,0.601655743118,2.33355379261,2.93520953573,16.0000829785,5.08721631185,10.912866666666666,0,225.9809112548828,0.9825257011081862
3,2,1.0,2.1024711361,0.0,2.1024711361,2.13025244822,4.23272358433,29.6299330911,19.0725497577,10.55738333333333,0,226.93685913085938,0.9866819962211277
4,4,1.0,0.63451942176,0.0,0.63451942176,2.91378552589,3.54830494765,19.5578028993,5.552369566,14.005433333333334,0,224.3325958251953,0.9753591122834578
5,2,1.0,1.22938611177,0.0,1.22938611177,1.96647828128,3.19586439305,21.7993544909,11.7941378242,10.00521666666666,0,224.3469696044922,0.975421606976053
6,2,1.0,2.52696394697,0.0,2.52696394697,1.56703575367,4.09399970064,30.8480525868,22.3512025868,8.496850000000002,0,225.97496032714844,0.9824998275093411
7,2,1.0,1.0378716112,0.0,1.0378716112,2.11216558606,3.15003719725,19.7852270033,9.54024366994,10.244983333333337,0,223.67665100097656,0.9725071782651155
8,2,1.0,1.96805637016,0.0,1.96805637016,3.14459877144,5.1126551416,32.5973706307,18.0016039641,14.59576666666665,0,223.98951721191406,0.9738674661387567
9,3,1.0,1.04562991732,0.0,1.04562991732,4.95279883222,5.99842874955,34.9194091186,10.1543257853,24.765083333333347,0,223.35842895507812,0.9711236041525136
10,1,1.0,0.741756544799,0.0,0.741756544799,0.577408665944,1.31916521074,9.17320269436,6.06508602769,3.1081166666666653,0,224.05398559570312,0.9741477634595788
11,2,1.0,0.841175926599,0.0,0.841175926599,1.41246442111,2.25364034771,13.5113205106,6.22615384396,7.28516666666667,0,224.05059814453125,0.9741330354110055
12,2,1.0,0.664451710876,0.0,0.664451710876,1.74746945811,2.41192116899,13.9037065329,5.59368986619,8.310016666666668,0,223.96363830566406,0.9737549491550611
13,4,1.0,1.48060801854,0.0,1.48060801854,2.16403345578,3.64464147431,24.6466630507,13.959846384,10.686816666666664,0,222.80929565429688,0.9687360680621603
14,2,1.0,0.827518622478,0.0,0.827518622478,0.27948032,1.10699894248,9.14204592447,7.60604592447,1.5360000000000011,0,222.76052856445312,0.9685240372367527
15,1,1.0,1.34174311425,0.0,1.34174311425,0.811188632278,2.15293174653,17.007365089,12.7640984223,4.243266666666664,0,222.8528289794922,0.9689253433890964
16,1,1.0,1.16954294661,0.0,1.16954294661,2.36827031011,3.53781325672,20.3841321353,8.33326546862,12.050866666666655,0,222.63900756835938,0.9679956850798234
17,2,1.0,1.00377302016,0.0,1.00377302016,0.433352088,1.43712510816,9.87810643251,7.27720643251,2.6009000000000038,0,222.69293212890625,0.9682301396908968
18,1,1.0,0.550479126293,0.0,0.550479126293,1.60092867311,2.1514077994,13.1778730013,4.4793563346,8.698516666666666,0,222.71485900878906,0.9683254739512568
19,2,1.0,2.52972251373,0.0,2.52972251373,0.495677634944,3.02540014868,25.2935750164,22.3720083498,2.9215666666666693,0,222.48582458496094,0.9673296721085258
20,2,1.0,3.11974767903,0.0,3.11974767903,0.689146961667,3.80889464069,29.9263995393,26.5033995393,3.4230000000000005,0,220.1245574951172,0.9570632934570312
21,2,1.0,2.29067918622,0.0,2.29067918622,1.00771592983,3.29839511605,26.0669953719,20.5497953719,5.517200000000002,0,221.08119201660156,0.9612225739852241
22,1,1.0,0.391933632414,0.0,0.391933632414,2.83087775322,3.22281138564,16.1672541516,2.93912081825,13.228133333333332,0,220.07684326171875,0.9568558402683424
23,4,1.0,0.322485472558,0.0,0.322485472558,3.97408365417,4.29656912673,21.4689305161,2.49068051608,18.978250000000013,0,222.37112426757812,0.9668309750764267
24,2,1.0,1.88333108607,0.0,1.88333108607,1.27151105989,3.15484214596,23.3903953997,17.3182620664,6.072133333333336,0,222.0560760498047,0.9654612002165421
25,1,1.0,1.09129142064,0.0,1.09129142064,1.49600772928,2.58729914992,14.975355318,7.82048865132,7.154866666666673,0,216.95672607421875,0.9432901133661685
26,1,1.0,0.152633891738,0.0,0.152633891738,2.55808572272,2.71071961446,13.4548015145,1.1648181812,12.289983333333367,0,221.48695373535156,0.9629867553710938
27,4,1.0,1.07697824012,0.0,1.07697824012,1.36517951978,2.4421577599,15.8828284637,8.63281179699,7.250016666666664,0,221.99615478515625,0.9652006729789402
28,2,1.0,0.526116814145,0.0,0.526116814145,1.44274688128,1.96886369542,12.0203821106,5.04516544389,6.9752166666666655,0,221.8015594482422,0.9643546062967051
29,3,1.0,1.16921477529,0.0,1.16921477529,1.555607671,2.72482244629,19.5962379971,11.2746879971,8.321550000000004,0,217.12393188476562,0.9440170951511548
30,2,1.0,1.09016425478,0.0,1.09016425478,2.15846140928,3.24862566405,18.8444647769,8.61784811024,10.226616666666667,0,216.9800262451172,0.9433914184570312
31,2,1.0,1.24371922852,0.0,1.24371922852,1.35302767811,2.59674690663,16.7631192539,10.2283525872,6.534766666666666,0,216.99867248535156,0.943472489066746
32,2,1.0,4.05528666667,0.0,4.05528666667,1.44672132911,5.50200799578,39.3023811828,32.2580645161,7.044316666666667,0,221.00689697265625,0.9608995520550272
33,1,1.0,0.782062635574,0.0,0.782062635574,1.642188084,2.42425071957,14.2265061516,5.68705615157,8.539450000000004,0,221.53076171875,0.9631772248641305
