slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,22.9208666667,22.9208666667,0,0.0,3.0,0.0,0.835671241583,225.993255615,0.98257937224,17.30633333333333,0.0,0.0,0.0,0.991690397056,0.991690397056
2,31.1314666667,31.1314666667,0,0.0,4.0,0.0,0.843326220295,223.490829468,0.971699258556,17.30633333333333,0.0,0.0,0.0,1.34692884822,1.34692884822
3,20.8698,20.8698,0,0.0,8.0,0.0,0.840999911626,225.620925903,0.980960547406,17.091333333333335,0.0,0.0,0.0,0.891731771,0.891731771
4,20.7812,20.7812,0,0.0,9.0,0.0,0.847036811441,226.515136719,0.984848420516,17.091333333333335,0.0,0.0,0.0,0.887946040667,0.887946040667
5,20.0789333333,20.0789333333,0,0.0,12.0,0.0,0.858337925056,226.233840942,0.983625395402,16.771333333333335,0.0,0.0,0.0,0.841876209778,0.841876209778
6,20.1840666667,20.1840666667,0,0.0,13.0,0.0,0.85875431546,227.159225464,0.987648806365,16.771333333333335,0.0,0.0,0.0,0.846284275222,0.846284275222
7,22.3003333333,22.3003333333,0,0.0,14.0,0.0,0.843556901878,226.981460571,0.986875915527,16.341333333333335,0.0,0.0,0.0,0.911042951111,0.911042951111
8,21.3134666667,21.3134666667,0,0.0,14.0,0.0,0.843556901878,227.079528809,0.987302299168,16.341333333333335,0.0,0.0,0.0,0.870726158222,0.870726158222
9,19.5638,19.5638,0,0.0,15.0,0.0,0.843496436536,227.632614136,0.989707017981,21.071333333333335,0.0,0.0,0.0,1.03058837767,1.03058837767
10,21.7230666667,21.7230666667,0,0.0,16.0,0.0,0.846517545227,225.084655762,0.978628938094,21.071333333333335,0.0,0.0,0.0,1.14433494689,1.14433494689
11,22.805,22.805,0,0.0,18.0,0.0,0.848898395395,226.299804688,0.983912194293,21.786333333333335,0.0,0.0,0.0,1.24209332917,1.24209332917
12,28.6794,28.6794,0,0.0,22.0,0.0,0.856740914774,226.178421021,0.98338443922,21.786333333333335,0.0,0.0,0.0,1.5620474205,1.5620474205
13,28.0086666667,28.0086666667,0,0.0,25.0,0.0,0.861033558794,225.666305542,0.981157850183,23.126333333333335,0.0,0.0,0.0,1.61934440389,1.61934440389
14,29.0385333333,29.0385333333,0,0.0,27.0,0.0,0.859316168177,225.048400879,0.978471308169,23.126333333333335,0.0,0.0,0.0,1.67888700344,1.67888700344
15,21.739,21.739,0,0.0,28.0,0.0,0.855241393285,226.887908936,0.986469169285,25.946333333333335,0.0,0.0,0.0,1.41011835083,1.41011835083
16,22.0120666667,22.0120666667,0,0.0,32.0,0.0,0.85184435463,226.086975098,0.982986848251,25.946333333333335,0.0,0.0,0.0,1.42783104772,1.42783104772
17,21.6942,21.6942,0,0.0,35.0,0.0,0.854972859982,224.648284912,0.976731673531,27.191333333333333,0.0,0.0,0.0,1.474735559,1.474735559
18,22.5292666667,22.5292666667,0,0.0,37.0,0.0,0.849167032238,226.309707642,0.983955250616,27.191333333333333,0.0,0.0,0.0,1.53150199922,1.53150199922
19,24.4504666667,24.4504666667,0,0.0,41.0,0.0,0.851758262962,225.44984436,0.98021671461,26.46633333333333,0.0,0.0,0.0,1.61778550239,1.61778550239
20,29.1782,29.1782,0,0.0,44.0,0.0,0.848713192909,225.161087036,0.978961247983,26.46633333333333,0.0,0.0,0.0,1.93059991817,1.93059991817
21,32.9420666667,32.9420666667,0,0.0,44.0,0.0,0.848713192909,224.611785889,0.976572982125,25.836333333333332,0.0,0.0,0.0,2.12775553772,2.12775553772
22,34.7278,34.7278,0,0.0,44.0,0.0,0.848713192909,224.787185669,0.977335589865,25.836333333333332,0.0,0.0,0.0,2.24309754183,2.24309754183
23,32.4709333333,32.4709333333,0,0.0,46.0,0.0,0.850266266227,225.138381958,0.978862530252,24.671333333333333,0.0,0.0,0.0,2.00275304978,2.00275304978
24,25.3360666667,25.3360666667,0,0.0,47.0,0.0,0.851544659525,226.512008667,0.984834820291,24.671333333333333,0.0,0.0,0.0,1.56268636522,1.56268636522
