slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,2.67373333333,2.673733333333333,0,0.0,1.0,0,0.0,26.810052695,226.89390563964844,0.9864952419115149,17.480833333333333,0.0,0.0,0.0,0.116847716944,0.116847716944
2,0.6812,0.6812,0,0.0,1.0,0,0.0,26.810052695,227.56802368164062,0.9894261899201766,17.480833333333333,0.0,0.0,0.0,0.0297698591667,0.0297698591667
3,0.576,0.576,0,0.0,1.0,0,0.0,26.810052695,228.3944091796875,0.9930191703464674,17.45583333333333,0.0,0.0,0.0,0.0251364,0.0251364
4,0.5552,0.5551999999999998,0,0.0,1.0,0,0.0,26.810052695,228.31996154785156,0.992695484990659,17.45583333333333,0.0,0.0,0.0,0.0242286966667,0.0242286966667
5,0.4316,0.4316000000000001,0,0.0,1.0,0,0.0,26.810052695,229.0015869140625,0.9956590735394022,17.43583333333333,0.0,0.0,0.0,0.0188132641667,0.0188132641667
6,0.6026,0.6026,0,0.0,1.0,0,0.0,26.810052695,227.22003173828125,0.987913181470788,17.43583333333333,0.0,0.0,0.0,0.0262670829167,0.0262670829167
7,0.572066666667,0.5720666666666666,0,0.0,1.0,0,0.0,26.810052695,226.08843994140625,0.9829932171365489,17.320833333333333,0.0,0.0,0.0,0.0247716784722,0.0247716784722
8,0.612866666667,0.6128666666666667,0,0.0,1.0,0,0.0,26.810052695,228.96568298339844,0.9955029694930367,17.320833333333333,0.0,0.0,0.0,0.0265384034722,0.0265384034722
9,0.350533333333,0.3505333333333333,0,0.0,1.0,0,0.0,26.810052695,229.6396942138672,0.9984334531037704,18.08083333333333,0.0,0.0,0.0,0.0158448369444,0.0158448369444
10,0.387466666667,0.3874666666666666,0,0.0,1.0,0,0.0,26.810052695,229.05056762695312,0.9958720331606657,18.08083333333333,0.0,0.0,0.0,0.0175143005556,0.0175143005556
11,0.743666666667,0.7436666666666667,0,0.0,1.0,0,0.0,26.810052695,227.83331298828125,0.9905796216881794,18.250833333333333,0.0,0.0,0.0,0.0339313409722,0.0339313409722
12,0.5894,0.5893999999999999,0,0.0,1.0,0,0.0,26.810052695,226.64923095703125,0.9854314389436142,18.250833333333333,0.0,0.0,0.0,0.0268926029167,0.0268926029167
13,0.479666666667,0.47966666666666663,0,0.0,1.0,0,0.0,26.810052695,228.72300720214844,0.9944478574006453,19.170833333333334,0.0,0.0,0.0,0.0229890243056,0.0229890243056
14,0.537,0.5369999999999998,0,0.0,1.0,0,0.0,26.810052695,228.2607879638672,0.992438208538553,19.170833333333334,0.0,0.0,0.0,0.02573684375,0.02573684375
15,0.857466666667,0.8574666666666666,0,0.0,1.0,0,0.0,26.810052695,226.52642822265625,0.9848975140115489,19.98083333333333,0.0,0.0,0.0,0.0428322463889,0.0428322463889
16,1.0434,1.0433999999999999,0,0.0,1.0,0,0.0,26.810052695,225.7313995361328,0.9814408675484035,19.98083333333333,0.0,0.0,0.0,0.05212000375,0.05212000375
17,1.352,1.3519999999999999,0,0.0,1.0,0,0.0,26.810052695,226.3474578857422,0.9841193821119225,22.92583333333333,0.0,0.0,0.0,0.0774893166667,0.0774893166667
18,2.5492,2.5492,0,0.0,1.0,0,0.0,26.810052695,223.99742126464844,0.973901831585428,22.92583333333333,0.0,0.0,0.0,0.146106335833,0.146106335833
19,1.26533333333,1.2653333333333334,0,0.0,1.0,0,0.0,26.810052695,226.60772705078125,0.9852509871773097,23.700833333333335,0.0,0.0,0.0,0.0749736361111,0.0749736361111
20,0.4534,0.45339999999999997,0,0.0,1.0,0,0.0,26.810052695,229.2900848388672,0.9969134123429008,23.700833333333335,0.0,0.0,0.0,0.0268648945833,0.0268648945833
21,0.351533333333,0.3515333333333333,0,0.0,1.0,0,0.0,26.810052695,228.9563751220703,0.9954625005307405,23.15083333333333,0.0,0.0,0.0,0.0203457240278,0.0203457240278
22,0.5688,0.5688000000000001,0,0.0,1.0,0,0.0,26.810052695,227.7169189453125,0.9900735606317935,23.15083333333333,0.0,0.0,0.0,0.032920485,0.032920485
23,0.551666666667,0.5516666666666666,0,0.0,1.0,0,0.0,26.810052695,228.13125610351562,0.9918750265370244,21.43583333333333,0.0,0.0,0.0,0.0295635868056,0.0295635868056
24,0.424,0.4239999999999998,0,0.0,1.0,0,0.0,26.810052695,228.6456298828125,0.9941114342730978,21.43583333333333,0.0,0.0,0.0,0.0227219833333,0.0227219833333
25,0.447666666667,0.44766666666666677,0,0.0,1.0,0,0.0,26.810052695,227.4975128173828,0.9891196209451426,19.060833333333335,0.0,0.0,0.0,0.0213322493056,0.0213322493056
26,1.59533333333,1.595333333333333,0,0.0,1.0,0,0.0,26.810052695,227.7580108642578,0.9902522211489471,19.060833333333335,0.0,0.0,0.0,0.0760209569444,0.0760209569444
27,2.5352,2.5351999999999992,0,0.0,1.0,0,0.0,26.810052695,226.6868438720703,0.9855949733568274,18.945833333333333,0.0,0.0,0.0,0.120078691667,0.120078691667
28,1.18,1.1799999999999997,0,0.0,1.0,0,0.0,26.810052695,227.13296508789062,0.9875346308169157,18.945833333333333,0.0,0.0,0.0,0.0558902083333,0.0558902083333
29,0.942266666667,0.9422666666666667,0,0.0,1.0,0,0.0,26.810052695,227.32810974121094,0.9883830858313519,19.00583333333333,0.0,0.0,0.0,0.0447714080556,0.0447714080556
30,0.858,0.8580000000000001,0,0.0,1.0,0,0.0,26.810052695,228.68649291992188,0.9942890996518342,19.00583333333333,0.0,0.0,0.0,0.0407675125,0.0407675125
31,0.9354,0.9354,0,0.0,1.0,0,0.0,26.810052695,228.01878356933594,0.9913860155188519,18.155833333333334,0.0,0.0,0.0,0.04245741625,0.04245741625
32,0.867133333333,0.8671333333333334,0,0.0,1.0,0,0.0,26.810052695,226.65042114257812,0.9854366136633832,18.155833333333334,0.0,0.0,0.0,0.0393588206944,0.0393588206944
33,0.9264,0.9263999999999999,0,0.0,1.0,0,0.0,26.810052695,227.84336853027344,0.9906233414359714,17.485833333333332,0.0,0.0,0.0,0.04049719,0.04049719
34,0.7488,0.7487999999999999,0,0.0,1.0,0,0.0,26.810052695,228.3375244140625,0.9927718452785326,17.485833333333332,0.0,0.0,0.0,0.03273348,0.03273348
35,0.747533333333,0.7475333333333333,0,0.0,1.0,0,0.0,26.810052695,228.5589599609375,0.9937346085258152,17.16583333333333,0.0,0.0,0.0,0.0320800815278,0.0320800815278
