slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.997157266937,0.09266666666666665,0,0.90449060027,0.0,0,0.0595426548714,0.0,228.21726989746094,0.992248999554178,17.680750000000003,0.0113199870443,0.0,0.0113199870443,0.00409604041667,0.0154160274609
2,0.633968903128,0.12199999999999994,0,0.511968903128,0.0,0,0.162758443189,0.0,226.1455535888672,0.9832415373429008,17.680750000000003,0.0309429176819,0.0,0.0309429176819,0.00539262875,0.0363355464319
3,0.73054683568,0.10613333333333337,0,0.624413502346,0.0,0,0.00185794925304,0.0,225.67926025390625,0.9812141750169837,18.015750000000004,0.00035991773393,0.0,0.00035991773393,0.004780179,0.00514009673393
4,0.608298639946,0.0872,0,0.521098639946,0.0,0,0.213897277365,0.0,225.10279846191406,0.9787078193996264,18.015750000000004,0.0414356975774,0.0,0.0414356975774,0.0039274335,0.0453631310774
5,0.961496853331,0.6713333333333334,0,0.290163519997,0.0,0,0.22306300844,0.0,227.4175262451172,0.9887718532396399,17.94575,0.0430433654162,0.0,0.0430433654162,0.0301189504167,0.0731623158329
6,1.2859199763,0.309,0,0.976919976296,1.0,0,0.0912635648396,26.551976026,227.8118896484375,0.9904864767323369,17.94575,0.0176106786959,0.0,0.0176106786959,0.013863091875,0.0314737705709
7,0.602556482917,0.2578000000000001,0,0.344756482917,1.0,0,0.0564224096014,26.6083984356,227.29605102539062,0.988243700110394,17.750750000000004,0.0107692482498,0.0,0.0107692482498,0.011440358375,0.0222096066248
8,1.17044740759,0.2683333333333333,0,0.902114074253,1.0,0,0.212256060996,26.8206544966,226.24697875976562,0.983682516346807,17.750750000000004,0.0405129491906,0.0,0.0405129491906,0.0119077947917,0.0524207439822
9,1.23660947355,0.29453333333333337,0,0.942076140219,1.0,0,0.0132594291014,26.8339139257,228.0448760986328,0.9914994612984035,23.665750000000003,0.00337413262642,0.0,0.00337413262642,0.0174258805833,0.0208000132098
10,0.375698693331,0.3663333333333334,0,0.00936535999775,1.0,0,0.199553463645,27.0334673893,227.6826934814453,0.9899247542671535,23.665750000000003,0.0507804557232,0.0,0.0507804557232,0.0216738827083,0.0724543384316
11,1.2835027655,0.4574666666666666,0,0.826036098834,1.0,0,0.107256395044,27.1407237843,225.64495849609375,0.9810650369395381,23.55575,0.0271667185758,0.0,0.0271667185758,0.0269399260833,0.0541066446591
12,0.616078970821,0.4168,0,0.199278970821,1.0,0,0.0111652550988,27.1518890394,226.3682861328125,0.9842099397078804,23.55575,0.00282802105155,0.0,0.00282802105155,0.0245450915,0.0273731125516
13,1.25253993128,0.8331999999999998,0,0.419339931281,1.0,0,0.0563234680658,27.2082125075,226.87596130371094,0.9864172230596128,23.61575,0.0143023757094,0.0,0.0143023757094,0.04919160725,0.0634939829594
14,1.20208792329,0.6080000000000001,0,0.594087923293,1.0,0,0.208917188452,27.417129696,226.533203125,0.9849269701086957,23.61575,0.0530509257333,0.0,0.0530509257333,0.03589594,0.0889468657333
15,1.38798265173,0.6509333333333334,0,0.737049318397,1.0,0,0.171281854313,27.5884115503,227.52919006347656,0.989257348102072,29.24575,0.0538630783954,0.0,0.0538630783954,0.0475925838333,0.101455662229
16,1.26641629951,0.6186666666666668,0,0.64774963284,1.0,0,0.168271334547,27.7566828848,227.6510009765625,0.989786960767663,29.24575,0.0529163589496,0.0,0.0529163589496,0.0452334266667,0.0981497856163
17,1.21447917939,0.5321999999999999,0,0.682279179388,1.0,0,0.126560887603,27.8832437724,227.91578674316406,0.9909382032311481,36.91575,0.0502375278122,0.0,0.0502375278122,0.049116405375,0.0993539331872
18,0.575137405089,0.4956000000000001,0,0.0795374050892,1.0,0,0.122156901668,28.0054006741,226.0181427001953,0.982687576957371,36.91575,0.0484893940081,0.0,0.0484893940081,0.04573861425,0.0942280082581
19,2.17365574133,1.4727999999999999,0,0.70085574133,1.0,0,0.056843843164,28.0622445173,226.86074829101562,0.9863510795261549,35.43075,0.0216561289912,0.0,0.0216561289912,0.1304560215,0.152112150491
20,2.08872135115,1.4131333333333334,0,0.675588017814,1.0,0,0.224192218692,28.2864367359,226.9341278076172,0.9866701209026835,35.43075,0.0854118113164,0.0,0.0854118113164,0.125170934625,0.210582745941
21,1.44087518192,0.6618666666666667,0,0.779008515253,1.0,0,0.0447272507057,28.3311639867,227.48635864257812,0.9890711245329483,32.42575,0.0155947811782,0.0,0.0155947811782,0.0536538076667,0.0692485888448
22,1.74970117845,0.9898666666666666,0,0.759834511786,1.0,0,0.176825937517,28.5079899242,225.5682830810547,0.980731665569803,32.42575,0.0616528348759,0.0,0.0616528348759,0.0802429226667,0.141895757543
23,1.37916344711,1.1409999999999996,0,0.238163447112,1.0,0,0.0809554448415,28.588945369,225.91542053222656,0.9822409588357677,28.960750000000004,0.0252100042924,0.0,0.0252100042924,0.082610539375,0.107820543667
24,0.390518974343,0.26599999999999985,0,0.124518974343,1.0,0,0.0151945871016,28.6041399561,227.27947998046875,0.9881716520889946,28.960750000000004,0.00473168428388,0.0,0.00473168428388,0.01925889875,0.0239905830339
25,0.843316726256,0.078,0,0.765316726256,1.0,0,0.191549305014,28.7956892611,226.41595458984375,0.9844171938688858,19.46075,0.0400827219091,0.0,0.0400827219091,0.00379484625,0.0438775681591
26,0.195610076882,0.078,0,0.117610076882,1.0,0,0.197598646704,28.9932879078,226.1629180908203,0.9833170351774796,19.46075,0.0413485791811,0.0,0.0413485791811,0.00379484625,0.0451434254311
27,0.408760377244,0.078,0,0.330760377244,1.0,0,0.192122897857,29.1854108057,226.29702758789062,0.9839001199473505,18.20575,0.0376101230931,0.0,0.0376101230931,0.00355012125,0.0411602443431
28,0.593445280409,0.078,0,0.515445280409,1.0,0,0.151465538012,29.3368763437,226.38417053222656,0.9842790023140285,18.20575,0.0296510077275,0.0,0.0296510077275,0.00355012125,0.0332011289775
