slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltage,elPrice,chCost,regRev,netChCost,resCost,totalCost
41,0.3876,0.3876,0,0.0,1,0,0.0,30.0,237.7368927001953,14.935749999999999,0.0,0,0.0,0.014472741749999997,0.014472741749999997
42,0.2552000000000001,0.2552000000000001,0,0.0,1,0,0.0,30.0,237.94068908691406,14.935749999999999,0.0,0,0.0,0.009529008500000002,0.009529008500000002
43,0.06200000000000003,0.06200000000000003,0,0.0,1,0,0.0,30.0,238.40863037109375,15.165750000000001,0.0,0,0.0,0.0023506912500000014,0.0023506912500000014
44,0.05533333333333335,0.05533333333333335,0,0.0,1,0,0.0,30.0,238.7190399169922,15.165750000000001,0.0,0,0.0,0.0020979287500000007,0.0020979287500000007
45,0.06400000000000003,0.06400000000000003,0,0.0,1,0,0.0,30.0,239.93667602539062,16.01075,0.0,0,0.0,0.0025617200000000013,0.0025617200000000013
46,0.06933333333333332,0.06933333333333332,0,0.0,1,0,0.0,30.0,239.28140258789062,16.01075,0.0,0,0.0,0.002775196666666666,0.002775196666666666
47,0.074,0.074,0,0.0,1,0,0.0,30.0,239.65162658691406,15.770750000000001,0.0,0,0.0,0.00291758875,0.00291758875
48,0.074,0.074,0,0.0,1,0,0.0,30.0,239.68954467773438,15.770750000000001,0.0,0,0.0,0.00291758875,0.00291758875
49,0.074,0.074,0,0.0,1,0,0.0,30.0,239.59107971191406,17.66075,0.0,0,0.0,0.00326723875,0.00326723875
50,0.26100000000000007,0.26100000000000007,0,0.0,1,0,0.0,30.0,239.54666137695312,17.66075,0.0,0,0.0,0.011523639375000004,0.011523639375000004
51,0.16126666666666664,0.16126666666666664,0,0.0,1,0,0.0,30.0,239.7979278564453,16.180750000000003,0.0,0,0.0,0.006523539041666668,0.006523539041666668
52,0.074,0.074,0,0.0,1,0,0.0,30.0,239.64393615722656,16.180750000000003,0.0,0,0.0,0.00299343875,0.00299343875
53,0.074,0.074,0,0.0,1,0,0.0,30.0,239.76425170898438,15.020750000000001,0.0,0,0.0,0.00277883875,0.00277883875
54,0.074,0.074,0,0.0,1,0,0.0,30.0,239.7048797607422,15.020750000000001,0.0,0,0.0,0.00277883875,0.00277883875
55,0.23606666666666676,0.23606666666666676,0,0.0,1,0,0.0,30.0,239.87547302246094,14.82075,0.0,0,0.0,0.008746712625000003,0.008746712625000003
56,0.18619999999999998,0.18619999999999998,0,0.0,1,0,0.0,30.0,239.9217987060547,14.82075,0.0,0,0.0,0.006899059124999999,0.006899059124999999
57,0.074,0.074,0,0.0,1,0,0.0,30.0,239.77847290039062,12.89575,0.0,0,0.0,0.00238571375,0.00238571375
58,0.074,0.074,0,0.0,1,0,0.0,30.0,239.58021545410156,12.89575,0.0,0,0.0,0.00238571375,0.00238571375
59,0.074,0.074,0,0.0,1,0,0.0,30.0,239.6976776123047,6.285749999999999,0.0,0,0.0,0.00116286375,0.00116286375
60,0.18620000000000003,0.18620000000000003,0,0.0,1,0,0.0,30.0,239.88027954101562,6.285749999999999,0.0,0,0.0,0.002926016625,0.002926016625
61,0.23606666666666673,0.23606666666666673,0,0.0,1,0,0.0,30.0,239.95188903808594,9.580750000000002,0.0,0,0.0,0.005654239291666669,0.005654239291666669
62,0.074,0.074,0,0.0,1,0,0.0,30.0,239.9827117919922,9.580750000000002,0.0,0,0.0,0.0017724387500000001,0.0017724387500000001
63,0.074,0.074,0,0.0,1,0,0.0,30.0,239.7578125,11.17575,0.0,0,0.0,0.00206751375,0.00206751375
64,0.074,0.074,0,0.0,1,0,0.0,30.0,239.7176513671875,11.17575,0.0,0,0.0,0.00206751375,0.00206751375
65,0.074,0.074,0,0.0,1,0,0.0,30.0,240.11474609375,12.85575,0.0,0,0.0,0.00237831375,0.00237831375
66,0.074,0.074,0,0.0,1,0,0.0,30.0,240.11793518066406,12.85575,0.0,0,0.0,0.00237831375,0.00237831375
67,0.074,0.074,0,0.0,1,0,0.0,30.0,240.2486114501953,14.240750000000002,0.0,0,0.0,0.00263453875,0.00263453875
68,0.12386666666666667,0.12386666666666667,0,0.0,1,0,0.0,30.0,239.83250427246094,14.240750000000002,0.0,0,0.0,0.004409885583333334,0.004409885583333334
69,0.26100000000000007,0.26100000000000007,0,0.0,1,0,0.0,30.0,239.57383728027344,16.220750000000002,0.0,0,0.0,0.010584039375000005,0.010584039375000005
70,0.11140000000000003,0.11140000000000003,0,0.0,1,0,0.0,30.0,240.22869873046875,16.220750000000002,0.0,0,0.0,0.004517478875000001,0.004517478875000001
71,0.074,0.074,0,0.0,1,0,0.0,30.0,240.04464721679688,16.795749999999998,0.0,0,0.0,0.0031072137499999998,0.0031072137499999998
72,0.074,0.074,0,0.0,1,0,0.0,30.0,239.3226776123047,16.795749999999998,0.0,0,0.0,0.0031072137499999998,0.0031072137499999998
73,0.074,0.074,0,0.0,1,0,0.0,30.0,238.8384246826172,17.74575,0.0,0,0.0,0.0032829637500000003,0.0032829637500000003
74,0.14880000000000002,0.14880000000000002,0,0.0,1,0,0.0,30.0,239.8196258544922,17.74575,0.0,0,0.0,0.006601419000000001,0.006601419000000001
75,0.26100000000000007,0.26100000000000007,0,0.0,1,0,0.0,30.0,237.97665405273438,18.78075,0.0,0,0.0,0.012254439375000004,0.012254439375000004
76,0.08646666666666668,0.08646666666666668,0,0.0,1,0,0.0,30.0,237.33392333984375,18.78075,0.0,0,0.0,0.0040597721250000005,0.0040597721250000005
77,0.074,0.074,0,0.0,1,0,0.0,30.0,237.7774658203125,16.850749999999998,0.0,0,0.0,0.0031173887499999996,0.0031173887499999996
78,0.074,0.074,0,0.0,1,0,0.0,30.0,236.9691619873047,16.850749999999998,0.0,0,0.0,0.0031173887499999996,0.0031173887499999996
79,0.074,0.074,0,0.0,1,0,0.0,30.0,238.70559692382812,16.56575,0.0,0,0.0,0.00306466375,0.00306466375
80,0.1986666666666667,0.1986666666666667,0,0.0,1,0,0.0,30.0,239.44967651367188,16.56575,0.0,0,0.0,0.008227655833333337,0.008227655833333337
81,0.22360000000000005,0.22360000000000005,0,0.0,1,0,0.0,30.0,239.74099731445312,16.180750000000003,0.0,0,0.0,0.009045039250000005,0.009045039250000005
82,0.074,0.074,0,0.0,1,0,0.0,30.0,239.11956787109375,16.180750000000003,0.0,0,0.0,0.00299343875,0.00299343875
83,0.074,0.074,0,0.0,1,0,0.0,30.0,239.8589630126953,16.88575,0.0,0,0.0,0.0031238637499999998,0.0031238637499999998
84,0.074,0.074,0,0.0,1,0,0.0,30.0,239.77703857421875,16.88575,0.0,0,0.0,0.0031238637499999998,0.0031238637499999998
85,0.22360000000000008,0.22360000000000008,0,0.0,1,0,0.0,30.0,239.68539428710938,16.850749999999998,0.0,0,0.0,0.009419569250000003,0.009419569250000003
86,0.19866666666666666,0.19866666666666666,0,0.0,1,0,0.0,30.0,239.20523071289062,16.850749999999998,0.0,0,0.0,0.008369205833333332,0.008369205833333332
87,0.074,0.074,0,0.0,1,0,0.0,30.0,239.3280487060547,16.98075,0.0,0,0.0,0.0031414387500000003,0.0031414387500000003
88,0.074,0.074,0,0.0,1,0,0.0,30.0,239.3592071533203,16.98075,0.0,0,0.0,0.0031414387500000003,0.0031414387500000003
89,0.074,0.074,0,0.0,1,0,0.0,30.0,238.99452209472656,18.335750000000004,0.0,0,0.0,0.003392113750000001,0.003392113750000001
90,0.074,0.074,0,0.0,1,0,0.0,30.0,239.3099822998047,18.335750000000004,0.0,0,0.0,0.003392113750000001,0.003392113750000001
91,0.26100000000000007,0.26100000000000007,0,0.0,1,0,0.0,30.0,239.18170166015625,18.31075,0.0,0,0.0,0.011947764375000003,0.011947764375000003
92,0.16126666666666664,0.16126666666666664,0,0.0,1,0,0.0,30.0,239.88088989257812,18.31075,0.0,0,0.0,0.007382284041666664,0.007382284041666664
93,0.074,0.074,0,0.0,1,0,0.0,30.0,239.8001708984375,18.55075,0.0,0,0.0,0.00343188875,0.00343188875
94,0.074,0.074,0,0.0,0,0,0.0,0.0,240.32046508789062,18.55075,0.0,0,0.0,0.00343188875,0.00343188875
95,0.07299999999999998,0.07299999999999998,0,0.0,0,0,0.0,0.0,238.1993865966797,18.43575,0.0,0,0.0,0.0033645243749999987,0.0033645243749999987
96,0.6359333333333332,0.6359333333333332,0,0.0,0,0,0.0,0.0,238.75509643554688,18.43575,0.0,0,0.0,0.029309769874999992,0.029309769874999992
