slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,voltage,elPrice,chCost,regRev,netCost
1,0.07099999999999998,0.07099999999999998,0,0.0,0,0,0,0,17.680750000000003,0.0,0,0
2,0.1723333333333334,0.1723333333333334,0,0.0,0,0,0,0,17.680750000000003,0.0,0,0
3,0.14700000000000005,0.14700000000000005,0,0.0,0,0,0,0,18.015750000000004,0.0,0,0
4,0.07099999999999998,0.07099999999999998,0,0.0,0,0,0,0,18.015750000000004,0.0,0,0
5,0.07099999999999998,0.07099999999999998,0,0.0,0,0,0,0,17.94575,0.0,0,0
6,0.07099999999999998,0.07099999999999998,0,0.0,0,0,0,0,17.94575,0.0,0,0
7,0.09633333333333333,0.09633333333333333,0,0.0,0,0,0,0,17.750750000000004,0.0,0,0
8,0.3226666666666666,0.3226666666666666,0,0.0,0,0,0,0,17.750750000000004,0.0,0,0
9,0.1093333333333333,0.1093333333333333,0,0.0,0,0,0,0,23.665750000000003,0.0,0,0
10,3.7710000000000004,0.07099999999999998,0,3.7,1,0,0,0,23.665750000000003,13.9527,0,0
11,3.7710000000000004,0.07099999999999998,0,3.7,1,0,0,0,23.55575,13.9527,0,0
12,3.783666666666667,0.08366666666666664,0,3.7,1,0,0,0,23.55575,13.9995666667,0,0
13,3.998,0.29800000000000004,0,3.7,1,0,0,0,23.61575,14.7926,0,0
14,4.183333333333334,0.48333333333333334,0,3.7,1,0,0,0,23.61575,15.4783333333,0,0
15,4.1071333333333335,0.40713333333333335,0,3.7,1,0,0,0,29.24575,15.1963933333,0,0
16,4.057,0.35700000000000004,0,3.7,1,0,0,0,29.24575,15.0109,0,0
17,4.221466666666667,0.5214666666666666,0,3.7,1,0,0,0,36.91575,15.6194266667,0,0
18,1.4605428252041543,0.5793333333333333,0,0.881209491871,1,0,0,0,36.91575,1.28704420085,0,0
19,0.5689333333333335,0.5689333333333335,0,0.0,1,0,0,0,35.43075,0.0,0,0
20,0.5390666666666665,0.5390666666666665,0,0.0,1,0,0,0,35.43075,0.0,0,0
21,0.5284666666666666,0.5284666666666666,0,0.0,1,0,0,0,32.42575,0.0,0,0
22,0.6116666666666667,0.6116666666666667,0,0.0,1,0,0,0,32.42575,0.0,0,0
23,0.41200000000000003,0.41200000000000003,0,0.0,1,0,0,0,28.960750000000004,0.0,0,0
24,0.4429333333333333,0.4429333333333333,0,0.0,1,0,0,0,28.960750000000004,0.0,0,0
25,0.2525999999999999,0.2525999999999999,0,0.0,1,0,0,0,19.46075,0.0,0,0
26,0.3073333333333333,0.3073333333333333,0,0.0,1,0,0,0,19.46075,0.0,0,0
27,0.25866666666666666,0.25866666666666666,0,0.0,1,0,0,0,18.20575,0.0,0,0
28,0.19599999999999998,0.19599999999999998,0,0.0,1,0,0,0,18.20575,0.0,0,0
29,0.14700000000000005,0.14700000000000005,0,0.0,1,0,0,0,19.46075,0.0,0,0
30,0.17233333333333345,0.17233333333333345,0,0.0,1,0,0,0,19.46075,0.0,0,0
31,0.07099999999999998,0.07099999999999998,0,0.0,1,0,0,0,19.115750000000002,0.0,0,0
32,0.07099999999999998,0.07099999999999998,0,0.0,1,0,0,0,19.115750000000002,0.0,0,0
33,0.07099999999999998,0.07099999999999998,0,0.0,1,0,0,0,18.680750000000003,0.0,0,0
34,0.1596666666666667,0.1596666666666667,0,0.0,1,0,0,0,18.680750000000003,0.0,0,0
35,0.25166666666666665,0.25166666666666665,0,0.0,1,0,0,0,17.55075,0.0,0,0
36,0.11699999999999997,0.11699999999999997,0,0.0,1,0,0,0,17.55075,0.0,0,0
37,0.07099999999999998,0.07099999999999998,0,0.0,1,0,0,0,17.14575,0.0,0,0
38,0.07099999999999998,0.07099999999999998,0,0.0,1,0,0,0,17.14575,0.0,0,0
39,0.18500000000000005,0.18500000000000005,0,0.0,1,0,0,0,16.89075,0.0,0,0
40,0.2263333333333333,0.2263333333333333,0,0.0,1,0,0,0,16.89075,0.0,0,0
41,0.11699999999999997,0.11699999999999997,0,0.0,1,0,0,0,14.935749999999999,0.0,0,0
42,0.07099999999999998,0.07099999999999998,0,0.0,1,0,0,0,14.935749999999999,0.0,0,0
43,0.07099999999999998,0.07099999999999998,0,0.0,1,0,0,0,15.165750000000001,0.0,0,0
44,0.21033333333333337,0.21033333333333337,0,0.0,1,0,0,0,15.165750000000001,0.0,0,0
45,0.06266666666666669,0.06266666666666669,0,0.0,1,0,0,0,16.01075,0.0,0,0
46,0.060000000000000026,0.060000000000000026,0,0.0,1,0,0,0,16.01075,0.0,0,0
47,0.06733333333333337,0.06733333333333337,0,0.0,1,0,0,0,15.770750000000001,0.0,0,0
48,0.07000000000000003,0.07000000000000003,0,0.0,1,0,0,0,15.770750000000001,0.0,0,0
49,0.07000000000000003,0.07000000000000003,0,0.0,1,0,0,0,17.66075,0.0,0,0
50,0.07000000000000003,0.07000000000000003,0,0.0,1,0,0,0,17.66075,0.0,0,0
51,0.13813333333333333,0.13813333333333333,0,0.0,1,0,0,0,16.180750000000003,0.0,0,0
52,0.21600000000000008,0.21600000000000008,0,0.0,1,0,0,0,16.180750000000003,0.0,0,0
53,0.07000000000000003,0.07000000000000003,0,0.0,1,0,0,0,15.020750000000001,0.0,0,0
54,0.07000000000000003,0.07000000000000003,0,0.0,1,0,0,0,15.020750000000001,0.0,0,0
55,0.07000000000000003,0.07000000000000003,0,0.0,1,0,0,0,14.82075,0.0,0,0
56,0.07000000000000003,0.07000000000000003,0,0.0,1,0,0,0,14.82075,0.0,0,0
57,0.11866666666666667,0.11866666666666667,0,0.0,1,0,0,0,12.89575,0.0,0,0
58,0.21600000000000008,0.21600000000000008,0,0.0,1,0,0,0,12.89575,0.0,0,0
59,0.08946666666666672,0.08946666666666672,0,0.0,1,0,0,0,6.285749999999999,0.0,0,0
