slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,voltage,elPrice,chCost,regRev,netCost
1,0.218,0.218,0,0.0,0,0,0,0,17.680750000000003,0.0,0,0
2,0.928266666666667,0.928266666666667,0,0.0,0,0,0,0,17.680750000000003,0.0,0,0
3,0.5646,0.5646,0,0.0,0,0,0,0,18.015750000000004,0.0,0,0
4,0.7525333333333334,0.7525333333333334,0,0.0,0,0,0,0,18.015750000000004,0.0,0,0
5,0.4335333333333333,0.4335333333333333,0,0.0,0,0,0,0,17.94575,0.0,0,0
6,0.8654666666666664,0.8654666666666664,0,0.0,0,0,0,0,17.94575,0.0,0,0
7,0.5638000000000001,0.5638000000000001,0,0.0,0,0,0,0,17.750750000000004,0.0,0,0
8,0.6330000000000001,0.6330000000000001,0,0.0,0,0,0,0,17.750750000000004,0.0,0,0
9,0.38193333333333324,0.38193333333333324,0,0.0,0,0,0,0,23.665750000000003,0.0,0,0
10,4.084333333333333,0.38433333333333325,0,3.7,0,0,0,0,23.665750000000003,15.1120333333,0,0
11,0.5824648120715394,0.37166666666666676,0,0.210798145405,0,0,0,0,23.55575,0.122782502148,0,0
12,0.755,0.755,0,0.0,0,0,0,0,23.55575,0.0,0,0
13,0.8248666666666666,0.8248666666666666,0,0.0,0,0,0,0,23.61575,0.0,0,0
14,0.6123333333333334,0.6123333333333334,0,0.0,0,0,0,0,23.61575,0.0,0,0
15,0.5341333333333333,0.5341333333333333,0,0.0,0,0,0,0,29.24575,0.0,0,0
16,0.5112666666666665,0.5112666666666665,0,0.0,0,0,0,0,29.24575,0.0,0,0
17,0.38060000000000005,0.38060000000000005,0,0.0,1,0,0,0,36.91575,0.0,0,0
18,0.3347333333333333,0.3347333333333333,0,0.0,1,0,0,0,36.91575,0.0,0,0
19,0.39719999999999994,0.39719999999999994,0,0.0,1,0,0,0,35.43075,0.0,0,0
20,0.6383333333333333,0.6383333333333333,0,0.0,1,0,0,0,35.43075,0.0,0,0
21,0.7154000000000001,0.7154000000000001,0,0.0,1,0,0,0,32.42575,0.0,0,0
22,0.5420666666666667,0.5420666666666667,0,0.0,1,0,0,0,32.42575,0.0,0,0
23,0.4284,0.4284,0,0.0,1,0,0,0,28.960750000000004,0.0,0,0
24,0.36966666666666675,0.36966666666666675,0,0.0,1,0,0,0,28.960750000000004,0.0,0,0
25,0.8836,0.8836,0,0.0,1,0,0,0,19.46075,0.0,0,0
26,0.7632666666666666,0.7632666666666666,0,0.0,1,0,0,0,19.46075,0.0,0,0
27,1.2190666666666665,1.2190666666666665,0,0.0,1,0,0,0,18.20575,0.0,0,0
28,2.4230666666666663,2.4230666666666663,0,0.0,1,0,0,0,18.20575,0.0,0,0
29,0.5670000000000001,0.5670000000000001,0,0.0,1,0,0,0,19.46075,0.0,0,0
30,0.8035333333333334,0.8035333333333334,0,0.0,1,0,0,0,19.46075,0.0,0,0
31,1.0202666666666669,1.0202666666666669,0,0.0,1,0,0,0,19.115750000000002,0.0,0,0
