slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.4599333333333334,0.4599333333333334,0,0.0,0.0,0,0.0,0.0,227.8831024169922,0.9907960974651834,17.680750000000003,0.0,0.0,0.0,0.0203299157083,0.0203299157083
2,0.7345333333333335,0.7345333333333335,0,0.0,0.0,0,0.0,0.0,227.7393035888672,0.9901708851689878,17.680750000000003,0.0,0.0,0.0,0.0324677505833,0.0324677505833
3,0.28186666666666665,0.28186666666666665,0,0.0,0.0,0,0.0,0.0,228.7570037841797,0.9945956686268682,18.015750000000004,0.0,0.0,0.0,0.0126950985,0.0126950985
4,0.1558,0.1558,0,0.0,0.0,0,0.0,0.0,228.31341552734375,0.9926670240319293,18.015750000000004,0.0,0.0,0.0,0.007017134625,0.007017134625
5,0.17939999999999998,0.17939999999999998,0,0.0,0.0,0,0.0,0.0,228.23085021972656,0.9923080444335938,17.94575,0.0,0.0,0.0,0.008048668875,0.008048668875
6,0.20519999999999997,0.20519999999999997,0,0.0,0.0,0,0.0,0.0,228.87103271484375,0.9950914465862771,17.94575,0.0,0.0,0.0,0.00920616975,0.00920616975
7,0.5206,0.5206,0,0.0,0.0,0,0.0,0.0,226.39947509765625,0.9843455439028532,17.750750000000004,0.0,0.0,0.0,0.023102601125,0.023102601125
8,0.12213333333333339,0.12213333333333339,0,0.0,0.0,0,0.0,0.0,227.78305053710938,0.9903610892917799,17.750750000000004,0.0,0.0,0.0,0.00541989566667,0.00541989566667
9,0.072,0.072,0,0.0,0.0,0,0.0,0.0,228.60467529296875,0.9939333708389946,23.665750000000003,0.0,0.0,0.0,0.004259835,0.004259835
10,0.072,0.072,0,0.0,0.0,0,0.0,0.0,225.2990264892578,0.9795609847359036,23.665750000000003,0.0,0.0,0.0,0.004259835,0.004259835
11,0.072,0.072,0,0.0,0.0,0,0.0,0.0,223.0378875732422,0.9697299459706182,23.55575,0.0,0.0,0.0,0.004240035,0.004240035
12,0.3586666666666666,0.3586666666666666,0,0.0,0.0,0,0.0,0.0,223.11749267578125,0.9700760551120924,23.55575,0.0,0.0,0.0,0.0211216558333,0.0211216558333
13,0.6989999999999998,0.6989999999999998,0,0.0,0.0,0,0.0,0.0,223.46009826660156,0.9715656446373981,23.61575,0.0,0.0,0.0,0.041268523125,0.041268523125
14,0.9388,0.9388,0,0.0,0.0,0,0.0,0.0,222.9996337890625,0.969563625169837,23.61575,0.0,0.0,0.0,0.05542616525,0.05542616525
15,0.6856666666666666,0.6856666666666666,0,0.0,0.0,0,0.0,0.0,222.95278930664062,0.9693599535071331,29.24575,0.0,0.0,0.0,0.0501320897917,0.0501320897917
16,0.8171333333333332,0.8171333333333332,0,0.0,0.0,0,0.0,0.0,225.22080993652344,0.9792209127674932,29.24575,0.0,0.0,0.0,0.0597441929583,0.0597441929583
17,0.8025333333333334,0.8025333333333334,0,0.0,0.0,0,0.0,0.0,222.658935546875,0.9680823284646739,36.91575,0.0,0.0,0.0,0.07406529975,0.07406529975
18,2.8528000000000007,2.8528000000000007,0,0.0,0.0,0,0.0,0.0,223.29110717773438,0.9708309007727581,36.91575,0.0,0.0,0.0,0.263283129,0.263283129
19,4.1244,4.1244,0,0.0,0.0,0,0.0,0.0,221.01486206054688,0.960934182871943,35.43075,0.0,0.0,0.0,0.36532646325,0.36532646325
20,0.9428666666666667,0.9428666666666667,0,0.0,0.0,0,0.0,0.0,221.98658752441406,0.9651590761931046,35.43075,0.0,0.0,0.0,0.083516182875,0.083516182875
21,0.8757333333333333,0.8757333333333333,0,0.0,0.0,0,0.0,0.0,223.5812530517578,0.9720924045728601,32.42575,0.0,0.0,0.0,0.0709907753333,0.0709907753333
22,0.8805333333333334,0.8805333333333334,0,0.0,0.0,0,0.0,0.0,225.6346435546875,0.9810201893682066,32.42575,0.0,0.0,0.0,0.0713798843333,0.0713798843333
