slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
11,59.4834461361,29.5051333333,0,29.9783128028,18.0,0.0,0.891093971113,218.978775024,0.952081630541,23.55575,1.76540410451,0.0,1.76540410451,1.73753886129,3.5029429658
12,55.6842531966,31.7002,0,23.9840531966,19.0,0.0,0.889882459963,220.358688354,0.958081253715,23.55575,1.41240590272,0.0,1.41240590272,1.86680496537,3.27921086809
13,55.1597142066,29.2382,0,25.9215142066,21.0,0.0,0.895434443192,220.359558105,0.958085035241,23.61575,1.53038999781,0.0,1.53038999781,1.72620505413,3.25659505194
14,64.931938503,37.3817333333,0,27.5502051697,22.0,0.0,0.896433058036,218.793716431,0.951277027959,23.61575,1.62654689434,0.0,1.62654689434,2.20699417242,3.83354106676
15,52.5949440578,24.9394666667,0,27.6554773912,25.0,0.0,0.886970185221,223.68119812,0.972526948348,29.24575,2.02201294478,0.0,2.02201294478,1.82343351817,3.84544646295
16,48.6082975253,27.9453333333,0,20.662964192,27.0,0.0,0.893467515341,224.006347656,0.973940641984,29.24575,1.51075971254,0.0,1.51075971254,2.04320558083,3.55396529338
17,56.6450171427,34.145,0,22.5000171427,28.0,0.0,0.89419385701,217.988449097,0.947775865638,36.91575,2.07651251959,0.0,2.07651251959,3.15122070937,5.22773322897
18,76.9821970895,48.1660666667,0,28.8161304228,29.0,0.0,0.895121007209,220.027420044,0.956640956713,36.91575,2.65942266664,0.0,2.65942266664,4.44521618888,7.10463885551
19,74.5076015949,49.5196666667,0,24.9879349283,32.0,0.0,0.898734392801,218.653671265,0.950668135933,35.43075,2.21335318865,0.0,2.21335318865,4.38629732438,6.59965051302
20,74.9843195335,47.2968,0,27.6875195335,38.0,0.0,0.891184701626,219.451965332,0.954138979704,35.43075,2.45247395678,0.0,2.45247395678,4.1894027415,6.64187669828
21,60.2261836153,33.0040666667,0,27.2221169486,39.0,0.0,0.894896716266,222.328659058,0.966646343729,32.42575,2.20674389662,0.0,2.20674389662,2.67545403679,4.88219793341
22,63.858324304,34.3954666667,0,29.4628576374,39.0,0.0,0.898905616463,223.175613403,0.970328753927,32.42575,2.38838814009,0.0,2.38838814009,2.78824700817,5.17663514825
23,65.6542455407,39.5904666667,0,26.063778874,44.0,0.0,0.897100386391,222.223373413,0.966188580057,28.960750000000004,1.88706646007,0.0,1.88706646007,2.86642401879,4.75349047886
24,63.8737487635,37.6009333333,0,26.2728154302,46.0,0.0,0.899420902586,220.673675537,0.959450763205,28.960750000000004,1.90220109867,0.0,1.90220109867,2.72237807508,4.62457917376
25,68.6194523267,40.3171333333,0,28.3023189934,47.0,0.0,0.900259297037,223.019287109,0.969649074389,19.46075,1.37696088587,0.0,1.37696088587,1.96150413129,3.33846501717
26,68.7875398491,39.9483333333,0,28.8392065158,47.0,0.0,0.904320304158,223.132049561,0.970139345915,19.46075,1.4030814705,0.0,1.4030814705,1.94356131979,3.3466427903
27,65.9949008119,40.0728666667,0,25.9220341453,51.0,0.0,0.902335533138,222.594146729,0.96780063795,18.20575,1.17982518285,0.0,1.17982518285,1.82389148079,3.00371666364
